1000	841	1
1003	750	2
1004	613	526
1004	462	1
1004	992	1
1007	657	772
1008	1011	8441
1008	824	6
1009	904	1
1009	750	1
1009	944	2
1009	1012	2
113	833	3
118	750	8
118	657	1
118	716	1
129	750	8
129	756	1
129	657	14
129	443	15
129	289	1
136	179	424
136	161	424
136	750	129
137	764	7
137	648	24
137	750	12
138	648	6116
138	750	588
145	247	1458
148	750	111
148	138	171
148	435	125
148	137	109
156	764	1
160	179	3
160	986	29
160	657	2
160	750	5
160	525	3
161	900	38
161	750	3
161	657	40
162	750	28
163	750	20
173	179	3
173	986	18
173	657	19
173	750	45
173	525	4
173	369	3
178	750	1
179	900	1281
179	161	142
179	980	38
179	750	51
179	369	1935
179	267	70883
180	750	517
181	750	73
182	180	75
182	750	105
182	377	874
185	374	4
192	657	77
197	241	781
197	296	781
201	895	1
202	657	2
205	750	1
208	157	408
208	191	446
213	764	64
220	750	389
223	451	5
225	750	1
225	289	1
226	750	744
241	726	1
241	841	293
241	750	719
241	540	1
241	296	1673
242	545	2
242	750	2
246	750	139
246	657	140
246	267	139
262	1004	1
262	750	1
262	289	1
272	324	13
272	764	13
272	750	13
277	750	705
280	900	60
280	657	30
282	247	13067
282	263	1
283	750	3
285	750	4
285	520	103
287	750	1
289	624	1
289	974	1
289	461	2
289	815	1
289	225	1
289	767	1
289	462	1
289	739	1
289	895	1
289	750	103
289	484	1
289	777	1
289	976	1
289	886	1
289	869	2
289	800	1
289	794	1
289	873	45
289	756	1
289	772	1
289	940	1
289	972	3
289	1004	8
289	807	1
289	443	127
289	722	2
289	843	1
289	911	1
289	992	1
289	952	1
296	750	3
297	657	214
297	750	378
297	267	214
301	772	2
301	516	2
301	840	1
301	750	3
301	738	1
301	613	3
301	1004	6
301	364	1
304	750	1
312	289	1
315	750	1
315	582	1
319	900	5
327	657	1225
336	750	8
336	657	3
336	716	2
352	271	1036
353	543	5
353	650	1
353	454	1
358	362	4
358	750	20
361	522	212
364	516	1
364	840	1
369	179	1862
369	900	1917
369	280	31
369	750	31
369	980	62
369	161	1893
369	657	31
372	858	1
373	657	120
374	377	169
374	750	188
374	657	69
377	750	627
384	464	218
388	750	241
389	807	1
391	291	1
391	732	1
391	443	1
393	282	1
397	541	1
397	548	1
397	902	1
408	262	4
413	841	2
424	750	1
424	657	1
428	213	18
440	259	1
441	684	1
443	391	12
443	201	5
443	645	2
443	462	1
443	732	11
443	895	1
443	750	1
443	869	12
443	684	1
443	873	51
443	756	1
443	772	4
443	661	2
443	972	6
443	846	1
443	1004	14
443	964	7
443	952	2
450	282	201
450	247	153
450	750	12
456	684	3
458	837	2
461	289	2
462	1004	2
462	443	2
462	289	1
462	992	1
470	750	40
478	873	1
489	972	1
489	289	1
495	451	1
496	895	1
496	972	1
496	612	1
496	705	1
496	289	1
499	842	2
499	750	68
500	750	482
503	374	8
503	528	379
503	716	4
503	513	60
503	750	3554
503	525	38
503	582	1
503	522	315
503	657	11
503	517	280
503	515	146
506	684	3
506	750	1
507	331	2
507	457	1
507	748	5
507	380	4
507	943	1
507	977	2
507	986	2
507	540	1
507	979	11
507	499	40
507	545	1
507	782	1
507	392	1
507	484	1
507	588	1
507	546	1
507	535	1
507	781	1
507	913	2
507	355	3
507	406	1
507	952	2
507	576	3
507	822	4
507	767	2
510	750	4
510	657	3
510	716	3
513	226	63
513	503	76
513	528	79
513	522	79
513	517	74
513	750	6034
513	525	62
513	515	78
515	513	31
515	517	30
515	750	1860
515	525	23
515	528	30
515	522	32
516	1004	5
516	750	3
516	301	1
516	613	3
516	738	1
517	750	2295
522	515	8392
522	503	11320
522	528	15890
522	750	26441
522	517	14224
524	833	1385
525	374	14
525	802	1
525	503	82
525	528	84
525	716	22
525	513	76
525	750	1069
525	522	85
525	657	12
525	517	81
525	520	1
525	267	1
525	515	79
527	750	14
527	657	1
527	716	6
528	503	113
528	513	96
528	525	81
528	226	83
528	522	127
528	515	114
528	750	9487
528	517	116
537	567	1
552	606	1
553	972	1
553	1004	1
553	750	1
561	841	2
561	831	2
563	1004	1
563	841	1
563	289	1
564	613	1
564	1004	1
574	1004	1
574	841	1
574	289	1
582	750	1755
582	657	31
593	750	30
594	684	1
598	684	1
602	873	1
609	684	1
613	961	3
613	997	7
613	673	1
613	436	6
613	483	1
613	955	46
613	579	1
613	1012	6
613	969	2
613	693	2
613	624	1
613	970	23
613	440	1
613	918	2
613	391	14
